feature,importance,std
mfcc_kurtosis_04,-0.0001480804253202128,0.0023786050337091416
mfcc_mean_10,-0.00015364154242287765,0.0010947547609289961
tonnetz_mean_01,-0.00015585144195963684,0.0022241308893049773
chroma_cqt_min_08,-0.0001708530130910768,0.00017707384717793577
chroma_stft_std_10,-0.00017202321329014004,0.0004413260886274271
mfcc_std_17,-0.00017598698436058213,0.002081493113752941
chroma_cqt_median_08,-0.00017628728627217539,0.00038722187974307004
spectral_centroid_median_01,-0.00018927840417026776,0.0015609508996389675
spectral_centroid_mean_01,-0.00019773997836035616,0.0019311620291527515
chroma_stft_skew_01,-0.0002009339748319905,0.0005723474783336357
mfcc_max_11,-0.00020132611223276365,0.0025920292290590894
spectral_contrast_mean_05,-0.00022613102137233887,0.0012821578732175236
chroma_cens_mean_08,-0.00023147476566549586,0.0005205022066237346
chroma_stft_min_04,-0.0002315742869284765,0.0003308411523629107
spectral_contrast_max_02,-0.00023277954316026084,0.0006845993255268854
chroma_cqt_skew_04,-0.00023775609258027685,0.0025915160283818185
chroma_stft_median_06,-0.0002455662907555944,0.002556654036088705
chroma_cens_median_08,-0.00024991604306053293,0.001878958381287263
mfcc_min_12,-0.00025845576557002593,0.0011469561433249274
chroma_cens_mean_06,-0.00026353948826364216,0.00032637167933709206
chroma_cqt_skew_08,-0.00026424365610602796,0.0003258328007966477
chroma_cens_mean_12,-0.00027321044630060354,0.0003525147409198075
mfcc_min_17,-0.00027438722848533993,0.0006853396487456609
chroma_cens_max_09,-0.0002887290642913154,0.0025365241316586554
mfcc_min_14,-0.00029954420881241897,0.0018273137215852964
chroma_cqt_min_01,-0.0003247803062291499,0.000686831692297378
chroma_cqt_mean_06,-0.0003376613895167968,0.0007067199124348636
mfcc_mean_01,-0.0003448381900229558,0.0014591030489408934
chroma_stft_min_08,-0.00036906221470253133,0.0007973571959711781
chroma_stft_skew_06,-0.0003822299338600621,0.000437817054907059
chroma_cens_min_10,-0.0003862761465845743,0.0002670822349702284
chroma_cens_max_05,-0.00038784313158661267,0.0013595653889690782
chroma_cens_std_03,-0.0003922679219563907,0.001180250889382227
spectral_contrast_median_05,-0.0003931546146921705,0.002507580910461209
rmse_median_01,-0.0004023016101260213,0.002319270880855254
mfcc_skew_14,-0.00040288640476093265,0.001837652402422032
tonnetz_skew_04,-0.0004037429133475545,0.0006952327483087954
chroma_cens_skew_06,-0.0004189098729317275,0.0005854575113078234
chroma_cqt_skew_01,-0.00044822444561774534,0.00045664577698905615
chroma_cqt_mean_05,-0.00045291670366424676,0.0010388657201663091
mfcc_median_16,-0.00045327359360445294,0.0025320441266275377
spectral_contrast_mean_07,-0.0004787440661334075,0.0019341593592243358
chroma_cens_median_05,-0.0004876506339965836,0.001384380822296764
chroma_cens_mean_04,-0.0004887097593216427,0.0006022701698039753
zcr_skew_01,-0.0005042326809324371,0.000629848940596015
chroma_cens_max_02,-0.0005059851711361751,0.0009733078141917119
chroma_cens_std_09,-0.0005186716179122419,0.001026056840704342
spectral_bandwidth_skew_01,-0.000528027517112628,0.0010464754739981544
tonnetz_min_05,-0.0005406907112099513,0.00224326797403837
chroma_cqt_skew_03,-0.0005412447230841999,0.0017641581752449078
mfcc_max_09,-0.0005564124678459126,0.0018334313745945918
mfcc_kurtosis_20,-0.00057217687533202,0.00118137466082352
spectral_rolloff_skew_01,-0.0005739155489422332,0.0009015730542688609
spectral_contrast_kurtosis_04,-0.0005862564656630876,0.004624186769058288
spectral_bandwidth_min_01,-0.0005879789689042958,0.002676255439898582
mfcc_median_01,-0.0005880220566041316,0.003814614575778776
spectral_contrast_skew_06,-0.0005929363989553127,0.0011671725480022189
chroma_cqt_min_06,-0.0005931610684031585,0.0009476052868748628
chroma_stft_min_07,-0.0005989651522548045,0.0021417181286874512
chroma_cqt_skew_05,-0.0006026479943752161,0.0009313393591371745
spectral_contrast_max_03,-0.0006045829713711426,0.0009627451321780683
chroma_cqt_min_05,-0.0006159841714065307,0.0030552410856375996
spectral_rolloff_median_01,-0.0006276824040727935,0.0027829557774540583
mfcc_median_13,-0.000628132899877315,0.0014036092052041014
tonnetz_median_03,-0.0006412578641715794,0.001366213168851662
chroma_cqt_min_03,-0.0006417376607266767,0.0006686733966013901
chroma_cens_mean_10,-0.0006425260807171596,0.0009563018725775174
tonnetz_median_05,-0.0006476066831907878,0.0007153544060653005
chroma_stft_skew_08,-0.0006788775211205411,0.0014828378741800717
chroma_stft_skew_11,-0.0006838498991101338,0.0013488154757559975
mfcc_median_11,-0.0007249272862989653,0.0015458226575722719
mfcc_kurtosis_05,-0.0007287184955671988,0.001098439215152605
chroma_stft_median_02,-0.0007455984927539627,0.001628472991375528
chroma_cens_min_09,-0.0007478185921411362,0.00010245273429854253
chroma_stft_kurtosis_06,-0.0007542921857434548,0.0016042610986026426
mfcc_skew_10,-0.0007578729657110705,0.0017486776726629055
mfcc_mean_19,-0.0007688318438942299,0.0021532384651370457
mfcc_min_08,-0.000778380270150536,0.001261404958217195
chroma_stft_median_11,-0.0007807998328089816,0.0006622736157913748
spectral_contrast_kurtosis_01,-0.0007871843325068462,0.0015796280087684127
chroma_cens_min_12,-0.0008096970059364827,0.0006037153329591195
chroma_cens_skew_03,-0.0008175364998086021,0.0020232214588017912
chroma_stft_median_05,-0.0008382289031119816,0.002527997751048821
mfcc_std_12,-0.0008419842066273275,0.0013341736181106687
tonnetz_min_02,-0.0008422514957726224,0.002891532821891274
chroma_stft_median_08,-0.000844501270353859,0.0011691419068711028
spectral_contrast_mean_06,-0.0008445213887844638,0.0016226341424675766
chroma_cqt_mean_12,-0.0008579952500155863,0.0005573289179300274
chroma_stft_median_04,-0.0008583071504696671,0.0026739882516738723
chroma_cqt_median_06,-0.0008723235086900094,0.0004986746504336427
tonnetz_kurtosis_02,-0.0008820261151011088,0.0008271356375215695
spectral_contrast_std_01,-0.0008828465312450906,0.0025790392761375833
chroma_cqt_std_09,-0.0008986577166111732,0.0008166357625915182
